building_size,num_floors,num_occupants,insulation_quality,window_type,hvac_efficiency,lighting_efficiency,appliance_efficiency,water_heating_efficiency,renewable_energy,energy_kwh,outdoor_temp,humidity,season,possibility_of_rain
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4175476,20.23,29.53,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8876463999999995,39.72,88.08,Spring,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.7783828,35.19,22.7,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.9976335999999995,44.28,14.58,Spring,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4030756,19.63,72.68,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.2947768,15.14,78.01,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.7405144,33.62,39.04,Spring,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.637039599999999,29.33,50.77,Spring,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.163564,9.7,57.41,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.9985984,44.32,29.47,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.5446599999999995,25.5,63.71,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.3357808,16.84,70.01,Spring,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.9223791999999995,41.16,69.92,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.2050504,11.42,21.17,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.9402279999999994,41.9,80.75,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4768827999999994,22.69,39.05,Spring,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4402204,21.17,65.96,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.6920332,31.61,37.24,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4911136,23.28,78.66,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4696468,22.39,44.71,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1269016,8.18,61.06,Spring,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1401676,8.73,47.74,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.3027364,15.47,31.62,Spring,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.9952216,44.18,33.68,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8685916,38.93,39.79,Spring,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8027439999999992,36.2,80.76,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4462503999999994,21.42,80.69,Spring,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1802068,10.39,65.2,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.5190928,24.44,87.79,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8705212,39.01,78.14,Spring,True
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,3.003181199999999,44.51,81.96,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4194771999999998,20.31,20.27,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.3478408,17.34,71.78,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.7641519999999997,34.6,61.66,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.2289292,12.41,21.2,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.5398359999999998,25.3,87.64,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.2137336,11.78,74.12,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.2048092,11.41,36.06,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.926962,41.35,41.32,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.9397456,41.88,28.64,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.9103192,40.66,39.26,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.2462956,13.13,46.25,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1527099999999995,9.25,44.77,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.9925683999999992,44.07,68.35,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8606319999999994,38.6,30.4,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1939552,10.96,36.77,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.8198692,36.91,81.74,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.2393008,12.84,49.62,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.0890332,6.61,13.33,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1693527999999995,9.94,25.75,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.1570515999999995,9.43,37.12,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.4766416,22.68,87.61,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.153916,9.3,65.16,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.5907292,27.41,78.5,Spring,False
152,2,5,0.88,double-pane,0.6,0.91,0.8,0.98,0.04,2.3994576,19.48,33.54,Spring,True
