site_id,date,outdoor_temp,humidity,wind_speed,cloud_cover,possibility_of_rain,season
S1,2023-09-25,14.58,69.42,12.57,17.53,False,Spring
S1,2023-09-26,9.35,48.24,12.54,74.5,False,Spring
S1,2023-09-27,35.19,22.7,10.94,18.49,False,Spring
S1,2023-09-28,38.02,80.03,1.92,46.76,True,Spring
S1,2023-09-29,29.94,78.4,15.1,78.42,True,Spring
S1,2023-09-30,26.11,45.8,14.96,6.78,False,Spring
S1,2023-10-01,5.17,82.16,4.61,80.69,True,Spring
S1,2023-10-02,14.03,69.86,3.71,50.45,False,Spring
S1,2023-10-03,10.11,74.06,13.43,55.55,False,Spring
S1,2023-10-04,6.59,56.05,16.01,82.16,True,Spring
S1,2023-10-05,42.94,71.81,18.06,76.74,True,Spring
S1,2023-10-06,19.93,32.5,18.33,14.28,False,Spring
S1,2023-10-07,32.3,25.43,11.24,73.01,False,Spring
S1,2023-10-08,6.2,30.06,19.18,97.52,False,Spring
S1,2023-10-09,5.72,12.93,9.15,79.89,False,Spring
S1,2023-10-10,21.13,59.32,13.23,7.82,False,Spring
S1,2023-10-11,25.0,71.61,4.58,85.53,False,Spring
S1,2023-10-12,20.78,57.31,15.41,88.87,False,Spring
S1,2023-10-13,42.15,21.56,5.12,13.72,False,Spring
S1,2023-10-14,33.36,44.79,15.19,96.96,True,Spring
S1,2023-10-15,17.36,24.72,17.63,4.06,False,Spring
S1,2023-10-16,40.48,22.87,1.34,60.55,False,Spring
S1,2023-10-17,15.47,31.62,9.3,1.37,True,Spring
S1,2023-10-18,6.62,61.05,4.85,15.97,True,Spring
S1,2023-10-19,15.28,84.71,8.11,51.55,False,Spring
S1,2023-10-20,14.21,47.46,3.0,9.35,True,Spring
S1,2023-10-21,25.54,25.76,16.62,59.53,True,Spring
S1,2023-10-22,16.17,12.93,12.77,64.83,True,Spring
S1,2023-10-23,43.14,22.71,3.64,77.3,False,Spring
S1,2023-10-24,25.57,18.92,4.99,94.91,False,Spring
S1,2023-10-25,37.93,47.44,8.31,19.37,True,Spring
S1,2023-10-26,21.24,23.92,14.46,47.65,True,Spring
S1,2023-10-27,8.7,52.81,16.82,15.89,False,Spring
S1,2023-10-28,13.72,87.19,7.94,6.68,False,Spring
S1,2023-10-29,19.08,19.92,8.05,46.81,True,Spring
S1,2023-10-30,26.9,60.67,12.27,69.25,True,Spring
S1,2023-10-31,38.35,68.54,4.62,99.29,False,Spring
S1,2023-11-01,11.45,38.05,10.4,26.36,False,Spring
S1,2023-11-02,30.46,36.34,18.09,79.73,False,Spring
S1,2023-11-03,34.07,53.01,6.02,8.0,True,Spring
S1,2023-11-04,30.5,13.81,5.67,0.59,False,Spring
S1,2023-11-05,6.89,18.03,18.53,87.46,False,Spring
S1,2023-11-06,8.91,51.18,19.37,48.05,False,Spring
S1,2023-11-07,33.54,75.52,15.85,26.88,True,Spring
S1,2023-11-08,42.99,62.08,0.26,72.39,False,Spring
S1,2023-11-09,35.86,46.01,11.26,48.75,False,Spring
S1,2023-11-10,27.13,38.97,7.55,8.03,False,Spring
S1,2023-11-11,22.16,43.58,3.14,79.65,False,Spring
S1,2023-11-12,17.58,44.58,16.73,65.27,True,Spring
S1,2023-11-13,34.4,44.23,2.62,81.34,False,Spring
S1,2023-11-14,16.44,32.41,5.95,71.9,False,Spring
S1,2023-11-15,14.54,42.71,12.89,52.93,False,Spring
S1,2023-11-16,27.02,79.46,2.73,98.1,False,Spring
S1,2023-11-17,43.14,10.54,19.65,13.18,True,Spring
S1,2023-11-18,23.65,58.09,8.49,86.96,False,Spring
S1,2023-11-19,43.94,42.39,1.15,14.35,False,Spring
S1,2023-11-20,13.76,32.92,17.56,31.14,False,Spring
S1,2023-11-21,5.39,42.44,6.04,6.19,True,Spring
S1,2023-11-22,29.84,37.11,13.11,61.91,False,Spring
S1,2023-11-23,12.13,16.06,6.82,10.92,False,Spring
S1,2023-11-24,29.57,33.53,14.94,89.68,False,Spring
S1,2023-11-25,23.06,19.48,19.52,51.76,False,Spring
S1,2023-11-26,13.78,64.23,1.1,10.96,False,Spring
S1,2023-11-27,9.15,78.66,17.71,1.24,True,Spring
S1,2023-11-28,9.48,88.67,2.27,60.85,False,Spring
S1,2023-11-29,10.35,67.87,3.93,25.95,False,Spring
S1,2023-11-30,39.97,11.89,10.13,84.95,False,Spring
S1,2023-12-01,36.77,77.79,9.51,47.63,False,Summer
S1,2023-12-02,11.47,28.12,10.19,4.11,False,Summer
S1,2023-12-03,41.17,43.33,7.42,50.08,False,Summer
S1,2023-12-04,23.59,60.17,5.08,90.7,False,Summer
S1,2023-12-05,22.22,78.18,5.16,58.88,False,Summer
S1,2023-12-06,29.89,72.64,10.5,68.08,True,Summer
S1,2023-12-07,41.43,17.1,7.84,12.49,False,Summer
S1,2023-12-08,25.07,12.13,14.54,92.58,True,Summer
S1,2023-12-09,13.95,30.88,1.02,18.92,False,Summer
S1,2023-12-10,24.93,51.17,17.59,26.49,False,Summer
S1,2023-12-11,28.2,78.3,1.56,64.11,False,Summer
S1,2023-12-12,41.67,85.98,0.43,99.97,False,Summer
S1,2023-12-13,30.96,10.53,17.2,58.6,False,Summer
S1,2023-12-14,14.9,74.21,19.08,90.52,False,Summer
S1,2023-12-15,9.91,58.17,13.79,58.38,False,Summer
S1,2023-12-16,36.19,52.58,15.77,4.41,True,Summer
S1,2023-12-17,40.17,54.64,19.48,28.03,True,Summer
S1,2023-12-18,35.69,74.66,7.41,19.43,False,Summer
S1,2023-12-19,30.95,87.98,6.75,69.26,False,Summer
S1,2023-12-20,43.77,51.44,3.18,4.19,True,Summer
S1,2023-12-21,15.1,51.51,15.38,74.1,False,Summer
S1,2023-12-22,28.64,25.99,17.6,24.92,True,Summer
S1,2023-12-23,7.32,48.32,1.2,36.91,False,Summer
S1,2023-12-24,14.13,82.73,15.6,20.87,False,Summer
S1,2023-12-25,24.02,51.95,7.39,76.63,False,Summer
S1,2023-12-26,39.4,24.53,17.42,92.08,False,Summer
S1,2023-12-27,37.61,61.55,6.48,10.44,False,Summer
S1,2023-12-28,11.03,82.48,1.21,77.35,False,Summer
S1,2023-12-29,8.78,44.57,3.45,18.62,True,Summer
S1,2023-12-30,35.98,16.21,3.75,33.91,False,Summer
S1,2023-12-31,9.63,25.2,6.38,30.61,True,Summer
S1,2024-01-01,19.64,69.92,6.99,55.52,False,Summer
S1,2024-01-02,36.27,28.95,0.15,46.48,False,Summer
S1,2024-01-03,12.87,34.57,0.88,79.87,False,Summer
S1,2024-01-04,39.08,83.3,1.93,89.76,False,Summer
S1,2024-01-05,41.06,32.29,6.61,3.07,False,Summer
S1,2024-01-06,29.73,70.91,0.87,74.26,False,Summer
S1,2024-01-07,23.98,77.28,12.56,1.67,False,Summer
S1,2024-01-08,44.86,65.41,2.93,95.29,False,Summer
S1,2024-01-09,15.52,32.65,4.45,74.73,True,Summer
S1,2024-01-10,17.06,31.28,10.54,83.19,True,Summer
S1,2024-01-11,6.82,55.28,12.31,51.24,False,Summer
S1,2024-01-12,36.29,83.46,17.66,32.9,False,Summer
S1,2024-01-13,8.81,83.78,19.97,49.22,False,Summer
S1,2024-01-14,14.73,58.96,7.94,50.44,True,Summer
S1,2024-01-15,39.91,55.78,16.74,44.08,False,Summer
S1,2024-01-16,44.34,59.43,1.82,10.58,False,Summer
S1,2024-01-17,32.45,24.27,10.45,69.94,False,Summer
S1,2024-01-18,44.18,44.86,13.47,55.17,True,Summer
S1,2024-01-19,32.63,53.64,9.73,94.43,False,Summer
S1,2024-01-20,6.95,24.41,17.94,74.19,False,Summer
S1,2024-01-21,9.92,56.02,18.85,42.99,True,Summer
S1,2024-01-22,14.92,57.25,15.86,49.54,False,Summer
S1,2024-01-23,6.8,35.09,5.66,55.48,True,Summer
S1,2024-01-24,30.76,39.78,13.77,91.4,False,Summer
S1,2024-01-25,11.48,41.37,5.49,64.11,False,Summer
S1,2024-01-26,10.62,81.28,7.72,85.08,False,Summer
S1,2024-01-27,39.27,47.1,9.18,69.64,True,Summer
S1,2024-01-28,20.79,31.75,6.92,69.6,False,Summer
S1,2024-01-29,25.1,88.11,13.3,98.1,True,Summer
S1,2024-01-30,9.52,24.42,18.04,19.32,False,Summer
S1,2024-01-31,23.37,71.96,17.36,11.41,False,Summer
S1,2024-02-01,34.84,32.0,18.6,84.44,False,Summer
S1,2024-02-02,42.88,35.1,9.64,10.16,False,Summer
S1,2024-02-03,21.55,51.25,11.51,62.76,False,Summer
S1,2024-02-04,43.25,18.91,18.19,69.64,False,Summer
S1,2024-02-05,19.33,63.06,2.13,56.49,True,Summer
S1,2024-02-06,6.39,74.72,17.77,25.64,True,Summer
S1,2024-02-07,13.31,30.85,4.29,57.82,False,Summer
S1,2024-02-08,24.34,76.33,6.22,72.36,True,Summer
S1,2024-02-09,11.91,16.63,8.34,67.91,True,Summer
S1,2024-02-10,23.87,52.68,3.41,63.37,False,Summer
S1,2024-02-11,44.36,40.87,9.91,99.69,False,Summer
S1,2024-02-12,41.84,72.05,16.11,41.99,False,Summer
S1,2024-02-13,20.9,43.13,2.77,32.74,False,Summer
S1,2024-02-14,21.98,48.56,4.74,70.45,False,Summer
S1,2024-02-15,15.14,48.08,12.73,5.3,True,Summer
S1,2024-02-16,33.23,34.51,14.06,28.72,True,Summer
S1,2024-02-17,18.66,32.07,2.13,1.94,True,Summer
S1,2024-02-18,29.8,24.53,14.24,0.37,False,Summer
S1,2024-02-19,42.44,41.42,2.26,19.32,False,Summer
S1,2024-02-20,5.26,87.34,0.51,9.89,False,Summer
S1,2024-02-21,8.27,52.94,3.94,27.53,True,Summer
S1,2024-02-22,35.95,15.76,2.27,62.33,False,Summer
S1,2024-02-23,27.39,60.58,10.69,13.3,False,Summer
S1,2024-02-24,26.66,74.96,7.7,17.28,False,Summer
